time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
8304,1625.3157157204,1625.3157157204,1625.3157157204,1625.3157157204
8306,1625.67810020511,1625.67810020511,1625.67810020511,1625.67810020511
8308,1626.0404795060012,1626.0404795060012,1626.0404795060012,1626.0404795060012
8310,1626.4028536246158,1626.4028536246158,1626.4028536246158,1626.4028536246158
8312,1626.7652225624938,1626.7652225624938,1626.7652225624938,1626.7652225624938
8314,1627.1275863211756,1627.1275863211756,1627.1275863211756,1627.1275863211756
8316,1627.4899449022,1627.4899449022,1627.4899449022,1627.4899449022
8318,1627.8522983071052,1627.8522983071052,1627.8522983071052,1627.8522983071052
8320,1628.214646537429,1628.214646537429,1628.214646537429,1628.214646537429
8322,1628.5769895947074,1628.5769895947074,1628.5769895947074,1628.5769895947074
8324,1628.939327480476,1628.939327480476,1628.939327480476,1628.939327480476
8326,1629.3016601962704,1629.3016601962704,1629.3016601962704,1629.3016601962704
8328,1629.663987743624,1629.663987743624,1629.663987743624,1629.663987743624
8330,1630.0263101240703,1630.0263101240703,1630.0263101240703,1630.0263101240703
8332,1630.3886273391413,1630.3886273391413,1630.3886273391413,1630.3886273391413
8334,1630.750939390369,1630.750939390369,1630.750939390369,1630.750939390369
8336,1631.1132462792839,1631.1132462792839,1631.1132462792839,1631.1132462792839
8338,1631.4755480074155,1631.4755480074155,1631.4755480074155,1631.4755480074155
8340,1631.8378445762933,1631.8378445762933,1631.8378445762933,1631.8378445762933
8342,1632.2001359874453,1632.2001359874453,1632.2001359874453,1632.2001359874453
8344,1632.562422242399,1632.562422242399,1632.562422242399,1632.562422242399
8346,1632.9247033426805,1632.9247033426805,1632.9247033426805,1632.9247033426805
8348,1633.286979289816,1633.286979289816,1633.286979289816,1633.286979289816
8350,1633.64925008533,1633.64925008533,1633.64925008533,1633.64925008533
8352,1634.0115157307469,1634.0115157307469,1634.0115157307469,1634.0115157307469
8354,1634.3737762275896,1634.3737762275896,1634.3737762275896,1634.3737762275896
8356,1634.7360315773806,1634.7360315773806,1634.7360315773806,1634.7360315773806
8358,1635.0982817816412,1635.0982817816412,1635.0982817816412,1635.0982817816412
8360,1635.4605268418925,1635.4605268418925,1635.4605268418925,1635.4605268418925
8362,1635.822766759654,1635.822766759654,1635.822766759654,1635.822766759654
8364,1636.1850015364453,1636.1850015364453,1636.1850015364453,1636.1850015364453
8366,1636.5472311737842,1636.5472311737842,1636.5472311737842,1636.5472311737842
8368,1636.9094556731884,1636.9094556731884,1636.9094556731884,1636.9094556731884
